#Zinb
#yaml:
#    date: 2023-01-18 12:15:22
#    transit_version: v4.0.0
#    app_or_command_line: app
#    console_command: transit 
#    calculation_time: 37.7seconds
#    analysis_type: Zinb
#    files:
#       combined_wig: /Users/jeffhykin/repos/transit/src/pytransit/../..//src/pytransit/data/cholesterol_glycerol.transit/comwig.tsv
#       annotation_path: /Users/jeffhykin/repos/transit/src/pytransit/../..//src/pytransit/data/cholesterol_glycerol.transit/annotation.H37Rv.prot_table
#    parameters:
#       normalization: TTR
#       n_terminus: 0.0
#       c_terminus: 0.0
#       pseudocount: 5.0
#       should_append_gene_descriptions: true
#    group_names: [Cholesterol, Glycerol]
#    lfc_columns: [Log 2 FC Cholesterol, Log 2 FC Glycerol]
#    mean_columns: [Mean Cholesterol, Mean Glycerol]
#    summary_info:
#       Hits: 100
#    
#Rv	Gene	TA Sites	Mean Cholesterol	Mean Glycerol	Log 2 FC Cholesterol	Log 2 FC Glycerol	Non Zero Mean Cholesterol	Non Zero Mean Glycerol	Non Zero Percentage Cholesterol	Non Zero Percentage Glycerol	P Value	Adj P Value	Status	Gene Annotation
Rv2934	ppsD	67	400.6	393.4	0.013	-0.013	634.0	560.8	0.63	0.70	0.24931814177904	1.0	-	PHENOLPTHIOCEROL SYNTHESIS TYPE-I POLYKETIDE SYNTHASE PPSD 
Rv2935	ppsE	68	625.9	681.4	-0.062	0.060	834.5	858.0	0.75	0.79	0.0190192669787571	0.32709860019500353	-	PHENOLPTHIOCEROL SYNTHESIS TYPE-I POLYKETIDE SYNTHASE PPSE 
Rv2936	drrA	19	1035.4	218.2	0.720	-1.501	1372.5	331.6	0.75	0.66	0.00118994632259051	0.047958442698344796	-	PROBABLE DAUNORUBICIN-DIM-TRANSPORT ATP-BINDING PROTEIN ABC TRANSPORTER DRRA 
Rv2937	drrB	23	355.3	66.6	0.739	-1.593	583.7	145.8	0.61	0.46	0.010986217916197	0.23477051679539002	-	PROBABLE DAUNORUBICIN-DIM-TRANSPORT INTEGRAL MEMBRANE PROTEIN ABC TRANSPORTER DRRB 
Rv2938	drrC	26	639.9	181.2	0.634	-1.158	734.0	277.1	0.87	0.65	0.000303507787956242	0.01681938991590841	-	PROBABLE DAUNORUBICIN-DIM-TRANSPORT INTEGRAL MEMBRANE PROTEIN ABC TRANSPORTER DRRC 
Rv2939	papA5	29	642.4	510.1	0.155	-0.174	916.2	688.1	0.70	0.74	0.954893844691994	1.0	-	acyltransferase PapA5 
Rv2940c	mas	82	1158.0	688.0	0.326	-0.421	1548.2	874.6	0.75	0.79	0.692231393983592	1.0	-	PROBABLE MULTIFUNCTIONAL MYCOCEROSIC ACID SYNTHASE MEMBRANE-ASSOCIATED MAS 
Rv2941	fadD28	46	481.9	413.1	0.106	-0.114	831.3	633.4	0.58	0.65	0.837496619236572	1.0	-	acyl-CoA synthetase 
Rv2942	mmpL7	43	465.7	106.9	0.692	-1.381	594.8	176.8	0.78	0.60	3.00702572833181e-06	0.00046146279446322773	-	CONSERVED TRANSMEMBRANE TRANSPORT PROTEIN MMPL7 
Rv2943	-	11	163.9	186.7	-0.094	0.088	245.8	293.3	0.67	0.64	0.418032399370521	1.0	-	IS1533 transposase 
Rv2943A	-	7	28.0	51.7	-0.444	0.339	83.9	103.4	0.33	0.50	0.43709058293657	1.0	-	POSSIBLE TRANSPOSASE 
Rv2944	-	10	85.0	52.8	0.284	-0.354	182.1	117.3	0.47	0.45	0.87611003497093	1.0	-	IS1533 transposase 
Rv2945c	lppX	10	1472.2	133.0	0.871	-2.549	1698.7	177.3	0.87	0.75	0.00110574796900743	0.045483859756078826	-	PROBABLE CONSERVED LIPOPROTEIN LPPX 
Rv2946c	pks1	50	216.4	186.9	0.099	-0.107	327.9	267.0	0.66	0.70	0.69832814975674	1.0	-	PROBABLE POLYKETIDE SYNTHASE PKS1 
Rv2947c	pks15	22	232.1	254.5	-0.066	0.063	333.1	329.3	0.70	0.77	0.313811200066253	1.0	-	PROBABLE POLYKETIDE SYNTHASE PKS15 
Rv2948c	fadD22	48	226.7	201.7	0.080	-0.085	403.1	307.3	0.56	0.66	0.702915456899464	1.0	-	acyl-CoA synthetase 
Rv2949c	-	22	42.5	6.8	0.679	-1.327	175.2	25.0	0.24	0.27	0.00767071378689728	0.19619325647256505	-	hypothetical protein Rv2949c 
Rv2950c	fadD29	46	168.7	161.2	0.031	-0.032	314.6	260.2	0.54	0.62	0.709609704651141	1.0	-	acyl-CoA synthetase 
Rv2951c	-	24	128.9	115.3	0.075	-0.080	211.0	190.8	0.61	0.60	0.310272341272913	1.0	-	POSSIBLE OXIDOREDUCTASE 
Rv2952	-	16	95.2	94.9	0.002	-0.002	207.8	159.8	0.46	0.59	0.712121158581542	1.0	-	POSSIBLE METHYLTRANSFERASE (METHYLASE) 
Rv2953	-	25	124.8	109.7	0.086	-0.092	252.9	228.5	0.49	0.48	0.522265980106372	1.0	-	hypothetical protein Rv2953 
Rv2954c	-	13	346.7	437.6	-0.175	0.156	500.7	598.8	0.69	0.73	0.0711493492916065	0.6686450606900116	-	hypothetical protein Rv2954c 
Rv2955c	-	20	145.9	209.1	-0.274	0.230	213.6	253.5	0.68	0.82	0.108480686291225	0.774926273183563	-	hypothetical protein Rv2955c 
Rv2956	-	18	19.8	9.5	0.337	-0.440	106.8	42.6	0.19	0.22	0.479312859137398	1.0	-	hypothetical protein Rv2956 
Rv2957	-	18	209.4	233.2	-0.078	0.074	305.7	322.9	0.69	0.72	0.278992161867458	1.0	-	POSSIBLE GLYCOSYL TRANSFERASE 
Rv2958c	-	25	262.0	163.9	0.293	-0.368	333.0	190.6	0.79	0.86	0.583751372686926	1.0	-	POSSIBLE GLYCOSYL TRANSFERASE 
Rv2959c	-	31	23.3	16.9	0.172	-0.196	94.1	69.9	0.25	0.24	0.857543405046651	1.0	-	POSSIBLE METHYLTRANSFERASE (METHYLASE) 
Rv2960c	-	7	103.3	93.6	0.066	-0.069	154.9	119.1	0.67	0.79	0.852748498727316	1.0	-	hypothetical protein Rv2960c 
Rv2961	-	7	233.7	193.5	0.127	-0.139	350.6	301.0	0.67	0.64	0.798920948755177	1.0	-	PROBABLE TRANSPOSASE 
Rv2962c	-	21	517.9	91.7	0.755	-1.680	815.7	128.3	0.63	0.71	0.0102641779994243	0.2313789277836325	-	POSSIBLE GLYCOSYL TRANSFERASE 
Rv2963	-	24	100.1	100.7	-0.004	0.004	184.8	172.6	0.54	0.58	0.74168607023695	1.0	-	PROBABLE INTEGRAL MEMBRANE PROTEIN 
Rv2964	purU	17	200.0	147.6	0.197	-0.229	351.7	238.9	0.57	0.62	0.997662395582907	1.0	-	PROBABLE FORMYLTETRAHYDROFOLATE DEFORMYLASE PURU (FORMYL-FH(4) HYDROLASE) 
Rv2965c	coaD	4	0.0	0.0	0.000	0.000	0.0	0.0	0.00	0.00	1.0	1.0	pan-essential (no counts in all conditions) - not analyzed	phosphopantetheine adenylyltransferase 
Rv2966c	-	7	37.2	42.2	-0.084	0.079	97.6	84.4	0.38	0.50	0.907478945090003	1.0	-	POSSIBLE METHYLTRANSFERASE (METHYLASE) 
Rv2967c	pca	63	25.2	24.0	0.027	-0.028	118.9	116.4	0.21	0.21	0.430200768419195	1.0	-	pyruvate carboxylase 
Rv2968c	-	11	4.2	0.0	0.373	-0.505	69.1	0.0	0.06	0.00	1.0	1.0	low saturation (<15%) across all conditions (pan-growth-defect) - not analyzed	PROBABLE CONSERVED INTEGRAL MEMBRANE PROTEIN 
Rv2969c	-	11	0.0	0.0	0.000	0.000	0.0	0.0	0.00	0.00	1.0	1.0	pan-essential (no counts in all conditions) - not analyzed	POSSIBLE CONSERVED MEMBRANE OR SECRETED PROTEIN 
Rv2970c	lipN	17	232.3	338.0	-0.290	0.241	382.2	459.6	0.61	0.74	0.199038656055217	0.967397859483591	-	PROBABLE LIPASE/ESTERASE LIPN 
Rv2970A	-	4	104.5	74.9	0.210	-0.245	156.8	99.9	0.67	0.75	0.891863870408692	1.0	-	hypothetical protein Rv2970A 
Rv2971	-	15	0.3	0.9	-0.079	0.075	6.1	25.9	0.04	0.03	1.0	1.0	low saturation (<15%) across all conditions (pan-growth-defect) - not analyzed	PROBABLE OXIDOREDUCTASE 
Rv2972c	-	12	184.7	133.6	0.209	-0.244	237.5	213.8	0.78	0.62	0.142681842959526	0.8662225510271792	-	POSSIBLE CONSERVED MEMBRANE OR EXPORTED PROTEIN 
Rv2973c	recG	30	69.5	51.9	0.181	-0.207	195.5	119.8	0.36	0.43	0.910723190696643	1.0	-	PROBABLE ATP-DEPENDENT DNA HELICASE RECG 
Rv2974c	-	20	200.9	215.4	-0.050	0.048	334.8	319.1	0.60	0.68	0.52293082604428	1.0	-	CONSERVED HYPOTHETICAL ALANINE RICH PROTEIN 
Rv2975c	-	2	295.1	86.7	0.615	-1.095	590.2	173.4	0.50	0.50	0.174253267980385	0.9382868275866885	-	hypothetical protein Rv2975c 
Rv2976c	ung	8	28.9	89.5	-0.920	0.557	138.9	286.3	0.21	0.31	0.299811638337327	1.0	-	uracil-DNA glycosylase 
Rv2977c	thiL	9	0.0	0.0	0.000	0.000	0.0	0.0	0.00	0.00	1.0	1.0	pan-essential (no counts in all conditions) - not analyzed	thiamine monophosphate kinase 
Rv2978c	-	12	65.8	43.9	0.242	-0.291	139.3	131.8	0.47	0.33	0.320731237207068	1.0	-	PROBABLE TRANSPOSASE 
Rv2979c	-	8	344.9	284.7	0.130	-0.143	591.2	379.6	0.58	0.75	0.700374308530173	1.0	-	PROBABLE RESOLVASE 
Rv2980	-	6	0.0	0.0	0.000	0.000	0.0	0.0	0.00	0.00	1.0	1.0	pan-essential (no counts in all conditions) - not analyzed	POSSIBLE CONSERVED SECRETED PROTEIN 
Rv2981c	ddl	14	0.0	0.0	0.000	0.000	0.0	0.0	0.00	0.00	1.0	1.0	pan-essential (no counts in all conditions) - not analyzed	D-alanyl-alanine synthetase A 
Rv2982c	gpsA	13	298.3	274.2	0.059	-0.061	401.2	356.5	0.74	0.77	0.729261759855017	1.0	-	NAD(P)H-dependent glycerol-3-phosphate dehydrogenase 
Rv2983	-	6	18.0	5.1	0.472	-0.706	107.7	61.7	0.17	0.08	0.631150537819426	1.0	-	CONSERVED HYPOTHETICAL ALANINE RICH PROTEIN 
Rv2984	ppk	32	0.0	0.0	0.000	0.000	0.0	0.0	0.00	0.00	1.0	1.0	pan-essential (no counts in all conditions) - not analyzed	polyphosphate kinase 
Rv2985	mutT1	15	14.5	48.4	-0.902	0.551	65.2	120.9	0.22	0.40	0.034151937708199	0.45573990453416063	-	POSSIBLE HYDROLASE MUTT1 
Rv2986c	hupB	8	0.0	0.0	0.000	0.000	0.0	0.0	0.00	0.00	1.0	1.0	pan-essential (no counts in all conditions) - not analyzed	PROBABLE DNA-BINDING PROTEIN HU HOMOLOG HUPB (HISTONE-LIKE PROTEIN) (HLP) (21-KDA LAMININ-2-BINDING PROTEIN) 
Rv2987c	leuD	10	0.0	5.7	-0.652	0.447	0.0	114.3	0.00	0.05	1.0	1.0	low saturation (<15%) across all conditions (pan-growth-defect) - not analyzed	isopropylmalate isomerase small subunit 
Rv2988c	leuC	13	0.0	0.0	0.000	0.000	0.0	0.0	0.00	0.00	1.0	1.0	pan-essential (no counts in all conditions) - not analyzed	isopropylmalate isomerase large subunit 
Rv2989	-	8	8.5	19.8	-0.504	0.373	50.9	52.7	0.17	0.38	0.418257044239902	1.0	-	PROBABLE TRANSCRIPTIONAL REGULATORY PROTEIN 
Rv2990c	-	18	269.1	290.5	-0.055	0.053	415.2	402.3	0.65	0.72	0.415814261664013	1.0	-	hypothetical protein Rv2990c 
Rv2991	-	5	148.5	172.2	-0.108	0.100	278.4	344.4	0.53	0.50	0.384078910264298	1.0	-	hypothetical protein Rv2991 
Rv2992c	gltX	19	0.0	0.0	0.000	0.000	0.0	0.0	0.00	0.00	1.0	1.0	pan-essential (no counts in all conditions) - not analyzed	glutamyl-tRNA synthetase 
Rv2993c	-	9	17.4	13.1	0.144	-0.160	94.0	78.9	0.19	0.17	0.90639703736575	1.0	-	POSSIBLE 2-HYDROXYHEPTA-2,4-DIENE-1,7-DIOATE ISOMERASE (HHDD ISOMERASE) 
Rv2994	-	20	141.3	132.5	0.044	-0.045	265.0	220.9	0.53	0.60	0.869442632990443	1.0	-	PROBABLE CONSERVED INTEGRAL MEMBRANE PROTEIN 
Rv2995c	leuB	10	0.0	0.0	0.000	0.000	0.0	0.0	0.00	0.00	1.0	1.0	pan-essential (no counts in all conditions) - not analyzed	3-isopropylmalate dehydrogenase 
Rv2996c	serA1	11	0.0	0.0	0.000	0.000	0.0	0.0	0.00	0.00	1.0	1.0	pan-essential (no counts in all conditions) - not analyzed	PROBABLE D-3-PHOSPHOGLYCERATE DEHYDROGENASE SERA1 (PGDH) 
Rv2997	-	16	98.3	90.4	0.056	-0.059	224.7	160.6	0.44	0.56	0.787719696934936	1.0	-	POSSIBLE ALANINE RICH DEHYDROGENASE 
Rv2998	-	5	137.5	120.1	0.091	-0.097	206.2	150.1	0.67	0.80	0.865580168124526	1.0	-	hypothetical protein Rv2998 
Rv2998A	-	2	18.6	0.7	0.686	-1.355	55.7	2.9	0.33	0.25	0.2345374225624	1.0	-	hypothetical protein Rv2998A 
Rv2999	lppY	11	94.6	25.9	0.610	-1.078	390.4	95.1	0.24	0.27	0.323103085159069	1.0	-	PROBABLE CONSERVED LIPOPROTEIN LPPY 
Rv3000	-	8	93.2	128.4	-0.238	0.204	203.3	228.3	0.46	0.56	0.635200469063748	1.0	-	POSSIBLE CONSERVED TRANSMEMBRANE PROTEIN 
Rv3001c	ilvC	13	0.0	0.0	0.000	0.000	0.0	0.0	0.00	0.00	1.0	1.0	pan-essential (no counts in all conditions) - not analyzed	ketol-acid reductoisomerase 
Rv3002c	ilvH	4	0.0	0.0	0.000	0.000	0.0	0.0	0.00	0.00	1.0	1.0	pan-essential (no counts in all conditions) - not analyzed	acetolactate synthase 3 regulatory subunit 
Rv3003c	ilvB1	15	0.0	0.0	0.000	0.000	0.0	0.0	0.00	0.00	1.0	1.0	pan-essential (no counts in all conditions) - not analyzed	acetolactate synthase 1 catalytic subunit 
Rv3004	cfp6	4	91.1	130.4	-0.268	0.226	364.2	521.4	0.25	0.25	0.178860645031446	0.9416832359444095	-	LOW MOLECULAR WEIGHT PROTEIN ANTIGEN 6 (CFP-6) 
Rv3005c	-	21	163.7	66.5	0.490	-0.748	245.5	121.5	0.67	0.55	0.154172596435539	0.9019824158466069	-	hypothetical protein Rv3005c 
Rv3006	lppZ	16	0.0	0.0	0.000	0.000	0.0	0.0	0.00	0.00	1.0	1.0	pan-essential (no counts in all conditions) - not analyzed	PROBABLE CONSERVED LIPOPROTEIN LPPZ 
Rv3007c	-	9	407.1	428.9	-0.038	0.037	549.6	551.4	0.74	0.78	0.387218770723063	1.0	-	POSSIBLE OXIDOREDUCTASE 
Rv3008	-	18	277.0	251.1	0.068	-0.071	347.9	301.3	0.80	0.83	0.790574387624249	1.0	-	hypothetical protein Rv3008 
Rv3009c	gatB	20	0.0	2.0	-0.265	0.224	0.0	40.3	0.00	0.05	1.0	1.0	low saturation (<15%) across all conditions (pan-growth-defect) - not analyzed	aspartyl/glutamyl-tRNA amidotransferase subunit B 
Rv3010c	pfkA	12	37.8	55.6	-0.273	0.229	123.8	102.7	0.31	0.54	0.327171583300603	1.0	-	6-phosphofructokinase 
Rv3011c	gatA	23	0.0	0.0	0.000	0.000	0.0	0.0	0.00	0.00	1.0	1.0	pan-essential (no counts in all conditions) - not analyzed	aspartyl/glutamyl-tRNA amidotransferase subunit A 
Rv3012c	gatC	0	0.0	0.0	0.000	0.000	0.0	0.0	0.00	0.00	1.0	1.0	TA sites <= 1, not analyzed	aspartyl/glutamyl-tRNA amidotransferase subunit C 
Rv3013	-	8	260.4	274.6	-0.038	0.037	312.4	313.8	0.83	0.88	0.615082116899505	1.0	-	hypothetical protein Rv3013 
Rv3014c	ligA	13	0.0	0.0	0.000	0.000	0.0	0.0	0.00	0.00	1.0	1.0	pan-essential (no counts in all conditions) - not analyzed	NAD-dependent DNA ligase LigA 
Rv3015c	-	9	144.5	113.5	0.158	-0.177	278.7	204.3	0.52	0.56	0.954877249821491	1.0	-	hypothetical protein Rv3015c 
Rv3016	lpqA	11	76.5	113.9	-0.298	0.247	114.7	156.6	0.67	0.73	0.16597106232479	0.92366354577705	-	PROBABLE LIPOPROTEIN LPQA 
Rv3017c	esxQ	10	327.2	342.2	-0.032	0.031	545.4	456.3	0.60	0.75	0.617872073571716	1.0	-	ESAT-6 LIKE PROTEIN ESXQ (TB12.9) (ESAT-6 LIKE PROTEIN 8) 
Rv3018c	PPE46	28	157.3	148.7	0.039	-0.040	388.7	333.0	0.40	0.45	0.787574351809249	1.0	-	PPE FAMILY PROTEIN 
Rv3018A	PE27A	0	0.0	0.0	0.000	0.000	0.0	0.0	0.00	0.00	1.0	1.0	TA sites <= 1, not analyzed	PE FAMILY PROTEIN 
Rv3019c	esxR	9	313.3	261.8	0.122	-0.133	422.9	428.3	0.74	0.61	0.27488419358283	1.0	-	SECRETED ESAT-6 LIKE PROTEIN ESXR (TB10.3) (ESAT-6 LIKE PROTEIN 9) 
Rv3020c	esxS	8	25.2	4.7	0.600	-1.045	120.9	18.6	0.21	0.25	0.103375571103859	0.76648599445803	-	ESAT-6 LIKE PROTEIN ESXS 
Rv3021c	PPE47	22	37.1	47.3	-0.165	0.148	163.4	189.4	0.23	0.25	0.461555915776063	1.0	-	PPE FAMILY PROTEIN 
Rv3022c	PPE48	5	422.4	371.5	0.089	-0.094	452.6	371.5	0.93	1.00	0.565263320099867	1.0	-	PPE FAMILY PROTEIN 
Rv3022A	PE29	6	248.8	161.7	0.272	-0.335	407.1	194.0	0.61	0.83	0.385560856311493	1.0	-	PE FAMILY PROTEIN 
Rv3023c	-	16	74.2	95.5	-0.182	0.161	104.8	117.5	0.71	0.81	0.201617509456931	0.9703906667468694	-	PROBABLE TRANSPOSASE 
Rv3024c	trmU	13	0.0	0.1	-0.013	0.013	0.0	2.3	0.00	0.04	1.0	1.0	low saturation (<15%) across all conditions (pan-growth-defect) - not analyzed	tRNA (5-methylaminomethyl-2-thiouridylate)-methyltransferase 
Rv3025c	iscS	17	0.0	0.0	0.000	0.000	0.0	0.0	0.00	0.00	1.0	1.0	pan-essential (no counts in all conditions) - not analyzed	PROBABLE CYSTEINE DESULFURASE ISCS (NIFS PROTEIN HOMOLOG) (NITROGENASE METALLOCLUSTERS BIOSYNTHESIS PROTEIN NIFS) 
Rv3026c	-	10	188.1	282.6	-0.316	0.259	268.7	434.8	0.70	0.65	0.00468637979472731	0.13549750276059397	-	hypothetical protein Rv3026c 
Rv3027c	-	18	285.3	242.8	0.110	-0.119	453.2	397.4	0.63	0.61	0.617470650639727	1.0	-	hypothetical protein Rv3027c 
Rv3028c	fixB	11	0.0	0.0	0.000	0.000	0.0	0.0	0.00	0.00	1.0	1.0	pan-essential (no counts in all conditions) - not analyzed	PROBABLE ELECTRON TRANSFER FLAVOPROTEIN (ALPHA-SUBUNIT) FIXB (ALPHA-ETF) (ELECTRON TRANSFER FLAVOPROTEIN LARGE SUBUNIT) (ETFLS) 
Rv3029c	fixA	8	0.0	0.0	0.000	0.000	0.0	0.0	0.00	0.00	1.0	1.0	pan-essential (no counts in all conditions) - not analyzed	PROBABLE ELECTRON TRANSFER FLAVOPROTEIN (BETA-SUBUNIT) FIXA (BETA-ETF) (ELECTRON TRANSFER FLAVOPROTEIN SMALL SUBUNIT) (ETFSS) 
Rv3030	-	11	0.0	4.1	-0.500	0.371	0.0	45.6	0.00	0.09	1.0	1.0	low saturation (<15%) across all conditions (pan-growth-defect) - not analyzed	hypothetical protein Rv3030 
Rv3031	-	20	0.0	0.0	0.000	0.000	0.0	0.0	0.00	0.00	1.0	1.0	pan-essential (no counts in all conditions) - not analyzed	hypothetical protein Rv3031 
Rv3032	-	10	0.0	0.0	0.000	0.000	0.0	0.0	0.00	0.00	1.0	1.0	pan-essential (no counts in all conditions) - not analyzed	POSSIBLE TRANSFERASE 
Rv3033	-	3	124.5	68.9	0.348	-0.460	373.4	103.4	0.33	0.67	0.216344643215746	0.9847604870647224	-	hypothetical protein Rv3033 
Rv3034c	-	13	135.0	121.2	0.073	-0.077	658.1	787.5	0.21	0.15	0.280064069877079	1.0	-	POSSIBLE TRANSFERASE 
Rv3035	-	18	0.0	0.0	0.000	0.000	0.0	0.0	0.00	0.00	1.0	1.0	pan-essential (no counts in all conditions) - not analyzed	hypothetical protein Rv3035 
Rv3036c	TB22.2	16	156.8	165.9	-0.040	0.039	259.5	252.8	0.60	0.66	0.762004530862492	1.0	-	PROBABLE CONSERVED SECRETED PROTEIN TB22.2 
Rv3037c	-	15	250.2	277.4	-0.075	0.071	351.8	396.3	0.71	0.70	0.344284855965169	1.0	-	hypothetical protein Rv3037c 
Rv3038c	-	14	25.1	39.4	-0.309	0.254	210.5	275.8	0.12	0.14	1.0	1.0	low saturation (<15%) across all conditions (pan-growth-defect) - not analyzed	hypothetical protein Rv3038c 
Rv3039c	echA17	10	32.4	11.0	0.487	-0.740	194.4	73.3	0.17	0.15	0.733475304413237	1.0	-	enoyl-CoA hydratase 
Rv3040c	-	13	29.0	42.4	-0.261	0.221	80.7	84.8	0.36	0.50	0.508617539000241	1.0	-	hypothetical protein Rv3040c 
Rv3041c	-	9	67.7	85.1	-0.163	0.147	140.6	153.2	0.48	0.56	0.834434269965639	1.0	-	PROBABLE CONSERVED ATP-BINDING PROTEIN ABC TRANSPORTER 
Rv3042c	serB2	11	0.0	0.0	0.000	0.000	0.0	0.0	0.00	0.00	1.0	1.0	pan-essential (no counts in all conditions) - not analyzed	phosphoserine phosphatase 
Rv3043c	ctaD	26	0.4	1.1	-0.085	0.080	17.4	57.5	0.03	0.02	1.0	1.0	low saturation (<15%) across all conditions (pan-growth-defect) - not analyzed	PROBABLE CYTOCHROME C OXIDASE POLYPEPTIDE I CTAD (CYTOCHROME AA3 SUBUNIT 1) 
Rv3044	fecB	16	0.0	0.0	0.000	0.000	0.0	0.0	0.00	0.00	1.0	1.0	pan-essential (no counts in all conditions) - not analyzed	PROBABLE FEIII-DICITRATE-BINDING PERIPLASMIC LIPOPROTEIN FECB 
Rv3045	adhC	20	91.9	91.7	0.001	-0.001	197.0	203.9	0.47	0.45	0.350189689055551	1.0	-	PROBABLE NADP-DEPENDENT ALCOHOL DEHYDROGENASE ADHC 
Rv3046c	-	2	22.6	33.7	-0.265	0.224	67.7	67.4	0.33	0.50	0.900131782772955	1.0	-	hypothetical protein Rv3046c 
Rv3047c	-	5	45.3	86.8	-0.498	0.370	113.3	124.0	0.40	0.70	0.232365619401272	1.0	-	hypothetical protein Rv3047c 
Rv3048c	nrdF	23	0.0	0.0	0.005	-0.005	2.6	0.0	0.01	0.00	1.0	1.0	low saturation (<15%) across all conditions (pan-growth-defect) - not analyzed	ribonucleotide-diphosphate reductase subunit beta 
Rv3049c	-	33	495.1	364.4	0.202	-0.235	710.4	445.4	0.70	0.82	0.44078292528747	1.0	-	PROBABLE MONOOXYGENASE 
Rv3050c	-	8	5.3	18.0	-0.697	0.468	126.1	72.0	0.04	0.25	0.217244643106494	0.9851850755891939	-	PROBABLE TRANSCRIPTIONAL REGULATORY PROTEIN (PROBABLY ASNC-FAMILY) 
Rv3051c	nrdE	55	0.0	0.0	0.000	0.000	0.0	0.0	0.00	0.00	1.0	1.0	pan-essential (no counts in all conditions) - not analyzed	ribonucleotide-diphosphate reductase subunit alpha 
Rv3052c	nrdI	14	0.0	0.0	0.000	0.000	0.0	0.0	0.00	0.00	1.0	1.0	pan-essential (no counts in all conditions) - not analyzed	ribonucleotide reductase stimulatory protein 
Rv3053c	nrdH	8	0.0	0.0	0.000	0.000	0.0	0.0	0.00	0.00	1.0	1.0	pan-essential (no counts in all conditions) - not analyzed	PROBABLE GLUTAREDOXIN ELECTRON TRANSPORT COMPONENT OF NRDEF (GLUTAREDOXIN-LIKE PROTEIN) NRDH 
Rv3054c	-	6	183.1	117.3	0.277	-0.344	235.4	140.8	0.78	0.83	0.94019551218327	1.0	-	hypothetical protein Rv3054c 
Rv3055	-	7	54.5	124.1	-0.664	0.453	114.5	173.7	0.48	0.71	0.204211087611457	0.9764820645949278	-	POSSIBLE TRANSCRIPTIONAL REGULATORY PROTEIN (PROBABLY TETR-FAMILY) 
Rv3056	dinP	20	421.8	375.5	0.081	-0.085	588.6	469.4	0.72	0.80	0.746050200944454	1.0	-	DNA polymerase IV 
Rv3057c	-	18	312.7	256.7	0.133	-0.147	411.8	330.0	0.76	0.78	0.704663108668418	1.0	-	short chain dehydrogenase 
Rv3058c	-	9	125.6	288.8	-0.700	0.469	211.9	472.6	0.59	0.61	0.00234955998432557	0.07747722592941342	-	POSSIBLE TRANSCRIPTIONAL REGULATORY PROTEIN (PROBABLY TETR-FAMILY) 
Rv3059	cyp136	24	344.4	448.1	-0.200	0.175	486.2	524.6	0.71	0.85	0.0325223987821321	0.44288181276691835	-	PROBABLE CYTOCHROME P450 136 CYP136 
Rv3060c	-	24	106.0	103.0	0.019	-0.020	211.9	197.7	0.50	0.52	0.459299698802075	1.0	-	PROBABLE TRANSCRIPTIONAL REGULATORY PROTEIN (PROBABLY GNTR-FAMILY) 
Rv3061c	fadE22	23	128.0	152.2	-0.126	0.116	192.0	241.5	0.67	0.63	0.0727558822799048	0.6777167555209197	-	PROBABLE ACYL-CoA DEHYDROGENASE FADE22 
Rv3062	ligB	20	184.9	218.3	-0.122	0.112	336.2	397.0	0.55	0.55	0.317138822635355	1.0	-	ATP-dependent DNA ligase 
Rv3063	cstA	30	237.2	259.4	-0.065	0.062	333.6	324.3	0.71	0.80	0.272523523389133	1.0	-	PROBABLE CARBON STARVATION PROTEIN A HOMOLOG CSTA 
Rv3064c	-	9	215.4	181.2	0.116	-0.127	264.3	203.9	0.81	0.89	0.855268786287022	1.0	-	PROBABLE CONSERVED INTEGRAL MEMBRANE PROTEIN 
Rv3065	mmr	9	183.1	246.5	-0.225	0.194	224.7	261.0	0.81	0.94	0.164326737826971	0.92366354577705	-	MULTIDRUGS-TRANSPORT INTEGRAL MEMBRANE PROTEIN MMR 
Rv3066	-	10	7.8	32.8	-0.982	0.579	58.6	131.2	0.13	0.25	0.275928111960735	1.0	-	PROBABLE TRANSCRIPTIONAL REGULATORY PROTEIN (PROBABLY DEOR-FAMILY) 
Rv3067	-	8	280.0	227.6	0.139	-0.154	373.3	364.2	0.75	0.62	0.391535693340488	1.0	-	hypothetical protein Rv3067 
Rv3068c	pgmA	32	2216.6	193.0	0.877	-2.611	3084.0	262.8	0.72	0.73	8.8204457516151e-06	0.0011731192849648083	-	phosphoglucomutase 
Rv3069	ccrB	6	167.6	251.5	-0.314	0.258	335.2	377.2	0.50	0.67	0.662559920309218	1.0	-	camphor resistance protein CrcB 
Rv3070	ccrB	9	47.7	65.4	-0.224	0.194	99.1	107.1	0.48	0.61	0.476699520101415	1.0	-	camphor resistance protein CrcB 
Rv3071	-	16	57.3	55.9	0.017	-0.017	144.8	111.8	0.40	0.50	0.817926146595781	1.0	-	hypothetical protein Rv3071 
Rv3072c	-	9	81.7	95.3	-0.108	0.101	116.1	131.9	0.70	0.72	0.435532652363138	1.0	-	hypothetical protein Rv3072c 
Rv3073c	-	4	169.2	186.7	-0.071	0.067	203.0	186.7	0.83	1.00	0.538844574650062	1.0	-	hypothetical protein Rv3073c 
Rv3074	-	15	132.4	91.5	0.232	-0.277	270.8	161.5	0.49	0.57	0.942037530181441	1.0	-	hypothetical protein Rv3074 
Rv3075c	-	16	147.6	229.6	-0.343	0.277	337.4	524.8	0.44	0.44	0.19161200886386	0.9544718044529356	-	hypothetical protein Rv3075c 
